state,category,material,material_cost,labor_hours,state_labor_rate,labor_cost,complexity,quality,demand_level,demand_factor,total_cost,market_price,recommended_price
Rajasthan,Clay/Terracotta Toy,Clay,109.44,3.8,67.44,256.27,3,4,Very High,1.2,365.71,517.28,545.51
Tamil Nadu,Home Decor,Bamboo,177.37,12.5,83.64,1045.5,1,4,Very High,1.2,1222.87,1954.72,1962.57
Rajasthan,Bamboo Craft,Bamboo,166.56,6.9,67.31,464.44,4,5,Very High,1.2,631.0,1103.18,1103.46
Uttar Pradesh,Home Decor,Wood,142.25,4.3,59.17,254.43,4,5,High,1.1,396.68,714.6,679.41
Rajasthan,Wooden Toy,Bamboo,81.25,9.7,57.45,557.26,2,2,Very High,1.2,638.51,781.86,880.82
Karnataka,Pottery,Clay,152.17,8.0,60.11,480.88,1,3,Medium,1.0,633.05,987.01,882.54
Uttar Pradesh,Home Decor,Wood,147.41,9.0,65.63,590.67,1,4,Very High,1.2,738.08,911.27,1090.14
Gujarat,Textile Craft,Cotton,181.08,7.0,83.35,583.45,2,4,High,1.1,764.53,1232.33,1187.63
Uttar Pradesh,Wooden Toy,Wood,373.91,4.3,59.87,257.44,3,5,Low,0.9,631.35,820.63,775.86
Telangana,Metal Craft,Iron,243.86,4.6,75.63,347.9,4,4,Medium,1.0,591.76,842.98,841.87
West Bengal,Pottery,Terracotta,104.79,2.2,58.31,128.28,2,5,Medium,1.0,233.07,256.85,283.21
Uttar Pradesh,Bamboo Craft,Bamboo,113.64,10.3,50.46,519.74,5,2,Low,0.9,633.38,853.74,850.2
Rajasthan,Textile Craft,Silk,538.2,4.6,73.37,337.5,3,4,High,1.1,875.7,1575.51,1509.25
Odisha,Bamboo Craft,Bamboo,199.26,3.7,66.53,246.16,2,5,High,1.1,445.42,599.81,649.64
Uttar Pradesh,Textile Craft,Wool,353.66,4.1,64.14,262.97,5,2,Very High,1.2,616.63,1105.18,1099.73
Telangana,Pottery,Clay,141.13,4.5,52.71,237.19,2,4,Medium,1.0,378.32,512.77,514.02
Gujarat,Textile Craft,Silk,575.25,7.5,62.47,468.52,4,2,Medium,1.0,1043.78,1182.88,1295.6
Uttar Pradesh,Handmade Jewelry,Copper,781.34,11.7,63.55,743.53,5,2,High,1.1,1524.88,2624.23,2496.59
Rajasthan,Wood Craft,Wood,363.12,5.5,48.41,266.25,3,3,High,1.1,629.38,1031.54,1018.77
Gujarat,Home Decor,Bamboo,50.14,6.3,66.45,418.63,1,2,Very High,1.2,468.77,621.04,684.01
West Bengal,Metal Craft,Brass,505.5,7.0,54.85,383.95,1,5,High,1.1,889.45,1138.58,1245.15
Karnataka,Metal Craft,Copper,823.8,5.2,62.3,323.96,3,5,Very High,1.2,1147.76,1949.49,1958.13
Kerala,Metal Craft,Brass,792.11,4.1,81.35,333.53,1,3,Very High,1.2,1125.64,1421.83,1610.14
Uttar Pradesh,Home Decor,Cotton,199.05,5.2,50.21,261.09,2,5,Very High,1.2,460.14,720.78,756.66
Telangana,Home Decor,Wood,390.28,13.6,76.63,1042.17,5,1,Medium,1.0,1432.45,2082.36,2159.39
Telangana,Pottery,Terracotta,61.51,3.7,61.34,226.96,3,1,High,1.1,288.47,327.62,361.44
Uttar Pradesh,Metal Craft,Copper,832.14,8.5,52.09,442.77,5,5,High,1.1,1274.9,2208.05,2217.02
Tamil Nadu,Wooden Toy,Wood,176.05,7.1,59.62,423.3,4,1,High,1.1,599.35,824.01,849.16
Tamil Nadu,Clay/Terracotta Toy,Terracotta,172.12,5.0,58.26,291.3,4,2,Very High,1.2,463.42,574.95,664.22
Odisha,Pottery,Terracotta,187.08,7.4,48.8,361.12,5,2,Medium,1.0,548.2,768.12,800.16
Gujarat,Bamboo Toy,Cane,211.05,4.3,73.8,317.34,3,1,Medium,1.0,528.39,592.33,624.39
Odisha,Wood Craft,Wood,269.02,7.1,72.99,518.23,1,4,High,1.1,787.25,1125.22,1142.64
Andhra Pradesh,Bamboo Toy,Bamboo,57.46,6.2,62.17,385.45,4,2,High,1.1,442.91,517.31,590.95
Rajasthan,Bamboo Toy,Bamboo,234.94,5.8,59.36,344.29,1,3,Very High,1.2,579.23,763.71,843.01
Uttar Pradesh,Wood Craft,Wood,314.87,6.3,62.5,393.75,3,1,High,1.1,708.62,1155.74,1088.86
Andhra Pradesh,Wooden Toy,Bamboo,170.26,6.5,58.88,382.72,1,4,Very High,1.2,552.98,839.65,877.51
Rajasthan,Textile Craft,Wool,182.65,5.7,59.05,336.58,3,1,Medium,1.0,519.24,706.08,710.93
Andhra Pradesh,Bamboo Craft,Cane,273.1,7.0,63.47,444.29,5,4,High,1.1,717.39,1082.21,1127.28
Telangana,Home Decor,Cotton,114.65,11.4,70.23,800.62,2,2,Very High,1.2,915.27,1269.58,1324.82
Karnataka,Home Decor,Wood,300.67,13.0,58.53,760.89,2,1,High,1.1,1061.56,1498.63,1459.11
Kerala,Wooden Toy,Bamboo,105.63,9.4,89.35,839.89,3,3,Low,0.9,945.52,1282.14,1159.33
Uttar Pradesh,Bamboo Craft,Cane,100.93,8.0,52.77,422.16,2,3,Medium,1.0,523.09,838.36,763.01
Kerala,Wood Craft,Wood,246.6,8.8,79.1,696.08,5,4,Medium,1.0,942.68,1409.4,1435.98
Andhra Pradesh,Pottery,Clay,114.84,4.7,72.6,341.22,1,3,Medium,1.0,456.06,546.52,572.73
Karnataka,Metal Craft,Copper,660.27,5.0,78.71,393.55,4,5,Medium,1.0,1053.82,1707.4,1696.84
Gujarat,Clay/Terracotta Toy,Clay,123.52,6.2,81.8,507.16,3,2,High,1.1,630.68,985.32,946.52
Uttar Pradesh,Wooden Toy,Wood,250.86,2.2,53.11,116.84,3,2,High,1.1,367.7,577.77,550.04
Andhra Pradesh,Textile Craft,Silk,622.66,8.5,56.16,477.36,2,3,Low,0.9,1100.02,1824.28,1545.58
Odisha,Pottery,Terracotta,163.55,5.2,60.38,313.98,1,5,Low,0.9,477.53,621.74,609.9
Karnataka,Wood Craft,Wood,117.6,9.2,71.71,659.73,5,1,High,1.1,777.33,1047.78,1120.98
Telangana,Handmade Jewelry,Brass,569.08,8.6,54.46,468.36,1,4,Medium,1.0,1037.44,1755.95,1623.26
Odisha,Clay/Terracotta Toy,Clay,163.75,5.2,62.22,323.54,5,5,Low,0.9,487.29,888.14,741.65
Gujarat,Pottery,Terracotta,147.65,8.2,68.13,558.67,3,5,High,1.1,706.32,874.65,962.95
West Bengal,Clay/Terracotta Toy,Clay,166.6,2.4,55.12,132.29,1,1,Medium,1.0,298.89,423.3,398.22
West Bengal,Textile Craft,Wool,322.76,7.1,74.17,526.61,1,3,Very High,1.2,849.37,1191.93,1296.41
Gujarat,Textile Craft,Silk,375.5,7.9,73.42,580.02,5,2,Low,0.9,955.52,1506.33,1345.09
Tamil Nadu,Bamboo Craft,Cane,87.5,7.6,74.63,567.19,4,5,High,1.1,654.69,1082.1,1069.45
Rajasthan,Handmade Jewelry,Silver,1324.53,2.6,65.6,170.56,2,2,Low,0.9,1495.09,2085.64,1950.75
Kerala,Clay/Terracotta Toy,Terracotta,182.86,5.4,88.95,480.33,3,5,Medium,1.0,663.19,835.5,910.72
Gujarat,Clay/Terracotta Toy,Terracotta,60.29,6.6,72.61,479.23,1,2,High,1.1,539.52,750.95,762.44
Uttar Pradesh,Home Decor,Clay,140.89,8.9,64.23,571.65,1,3,Very High,1.2,712.54,1115.6,1096.28
West Bengal,Wooden Toy,Bamboo,221.15,5.6,51.75,289.8,5,3,Low,0.9,510.95,910.94,766.57
Karnataka,Pottery,Terracotta,120.9,6.3,56.84,358.09,1,1,Medium,1.0,478.99,653.32,601.41
Gujarat,Pottery,Terracotta,171.03,4.9,63.34,310.37,3,1,High,1.1,481.4,662.84,672.65
Uttar Pradesh,Handmade Jewelry,Copper,265.63,11.8,62.23,734.31,2,1,High,1.1,999.94,1111.6,1287.05
Rajasthan,Bamboo Toy,Bamboo,149.01,3.9,59.8,233.22,4,4,Low,0.9,382.23,608.47,523.11
Karnataka,Bamboo Craft,Cane,97.01,3.5,75.38,263.83,3,4,Medium,1.0,360.84,475.45,508.23
Andhra Pradesh,Pottery,Clay,143.33,7.2,59.31,427.03,3,5,Very High,1.2,570.36,742.74,865.84
Kerala,Clay/Terracotta Toy,Clay,153.42,2.8,66.33,185.72,2,2,Low,0.9,339.14,509.92,440.5
Tamil Nadu,Textile Craft,Cotton,153.49,11.5,68.02,782.23,3,4,Very High,1.2,935.72,1362.81,1448.08
Tamil Nadu,Handmade Jewelry,Copper,726.01,6.7,83.5,559.45,1,1,High,1.1,1285.46,1442.51,1633.31
Kerala,Home Decor,Cotton,287.54,7.9,81.37,642.82,1,3,Low,0.9,930.36,1591.58,1353.63
Karnataka,Bamboo Craft,Cane,162.32,8.0,56.04,448.32,3,2,High,1.1,610.64,970.25,922.08
Kerala,Clay/Terracotta Toy,Terracotta,173.97,3.3,84.11,277.56,1,3,Medium,1.0,451.53,551.38,565.0
Telangana,Handmade Jewelry,Brass,281.82,10.7,69.61,744.83,2,4,Very High,1.2,1026.65,1641.13,1770.18
West Bengal,Textile Craft,Cotton,300.69,9.2,55.69,512.35,5,4,Medium,1.0,813.04,1151.0,1224.93
Kerala,Wood Craft,Bamboo,54.69,6.0,75.37,452.22,2,1,High,1.1,506.91,763.42,771.7
Telangana,Home Decor,Wood,116.07,13.5,68.68,927.18,2,5,Very High,1.2,1043.25,1506.87,1776.28
Uttar Pradesh,Wooden Toy,Bamboo,112.92,9.5,46.37,440.51,1,3,High,1.1,553.43,791.39,813.96
Gujarat,Metal Craft,Iron,156.46,5.6,62.91,352.3,1,4,Very High,1.2,508.76,794.59,801.27
Gujarat,Home Decor,Cotton,270.82,13.8,77.4,1068.12,3,4,High,1.1,1338.94,2321.81,2184.58
Uttar Pradesh,Home Decor,Wood,341.16,8.9,55.67,495.46,1,1,Very High,1.2,836.62,1160.03,1237.0
Tamil Nadu,Wood Craft,Bamboo,181.87,12.9,64.29,829.34,5,2,High,1.1,1011.21,1655.06,1601.99
Tamil Nadu,Clay/Terracotta Toy,Terracotta,56.93,4.5,78.22,351.99,3,2,Very High,1.2,408.92,679.64,686.27
Kerala,Handmade Jewelry,Copper,275.34,9.2,79.33,729.84,1,1,Low,0.9,1005.18,1255.24,1201.47
Rajasthan,Wood Craft,Bamboo,82.79,9.3,61.4,571.02,4,5,Low,0.9,653.81,914.75,910.9
Uttar Pradesh,Wood Craft,Wood,202.03,12.3,65.38,804.17,4,1,Very High,1.2,1006.2,1507.91,1668.29
Karnataka,Textile Craft,Wool,388.65,11.4,78.44,894.22,5,5,Low,0.9,1282.87,2019.8,1873.17
Tamil Nadu,Metal Craft,Iron,152.0,6.6,67.89,448.07,3,1,Low,0.9,600.07,919.98,834.57
Uttar Pradesh,Pottery,Terracotta,93.05,7.9,49.22,388.84,1,3,Very High,1.2,481.89,696.01,701.74
Telangana,Metal Craft,Copper,672.81,8.7,77.81,676.95,4,5,High,1.1,1349.76,1999.93,2125.64
Tamil Nadu,Handmade Jewelry,Silver,696.06,10.0,80.69,806.9,2,4,Low,0.9,1502.96,2184.01,1996.98
Odisha,Home Decor,Cotton,332.16,5.4,58.75,317.25,1,3,Low,0.9,649.41,749.68,776.08
Tamil Nadu,Bamboo Toy,Cane,226.84,5.0,69.39,346.95,2,1,High,1.1,573.79,744.97,766.57
Odisha,Bamboo Toy,Bamboo,125.46,4.8,52.33,251.18,4,3,High,1.1,376.64,579.45,583.14
Karnataka,Pottery,Clay,128.83,4.5,69.99,314.95,2,4,Very High,1.2,443.78,618.09,687.27
Andhra Pradesh,Handmade Jewelry,Copper,541.25,7.4,58.35,431.79,5,5,Very High,1.2,973.04,1568.08,1713.67
Karnataka,Bamboo Toy,Bamboo,149.0,2.7,74.48,201.1,1,1,Very High,1.2,350.1,514.9,507.46
Karnataka,Home Decor,Wood,144.97,4.3,79.04,339.87,4,1,Low,0.9,484.84,713.53,644.55
Kerala,Pottery,Clay,95.65,6.6,71.63,472.76,4,2,Very High,1.2,568.41,919.0,919.0
Telangana,Clay/Terracotta Toy,Terracotta,175.82,6.7,70.03,469.2,5,2,Medium,1.0,645.02,854.27,859.13
Gujarat,Wood Craft,Wood,101.85,12.9,81.24,1048.0,4,2,Low,0.9,1149.85,1716.2,1620.29
Uttar Pradesh,Bamboo Craft,Cane,106.57,3.1,47.34,146.75,4,4,High,1.1,253.32,366.48,387.96
Uttar Pradesh,Bamboo Craft,Bamboo,111.22,4.6,67.1,308.66,5,3,Medium,1.0,419.88,691.21,611.55
Karnataka,Textile Craft,Silk,334.66,3.3,56.56,186.65,3,4,Very High,1.2,521.31,755.94,856.21
West Bengal,Handmade Jewelry,Brass,476.1,8.4,67.59,567.76,4,2,High,1.1,1043.86,2024.47,1891.34
Odisha,Home Decor,Cotton,171.53,5.8,59.99,347.94,4,1,Low,0.9,519.47,809.4,699.74
Kerala,Bamboo Toy,Cane,261.12,6.8,80.32,546.18,3,1,Medium,1.0,807.3,831.23,928.39
Kerala,Metal Craft,Brass,804.87,11.7,65.06,761.2,5,5,Medium,1.0,1566.07,3211.35,2836.34
Uttar Pradesh,Wooden Toy,Wood,388.56,3.4,66.47,226.0,5,1,Low,0.9,614.56,1089.17,918.48
West Bengal,Bamboo Toy,Bamboo,242.77,5.0,74.46,372.3,4,4,Very High,1.2,615.07,1008.35,1015.51
Andhra Pradesh,Wood Craft,Wood,175.03,12.0,72.39,868.68,4,4,Medium,1.0,1043.71,1778.34,1582.71
Telangana,Clay/Terracotta Toy,Terracotta,84.28,7.6,69.77,530.25,4,5,Very High,1.2,614.53,1077.5,1064.52
Rajasthan,Wooden Toy,Wood,119.06,7.1,48.5,344.35,5,2,Low,0.9,463.41,817.71,681.77
Telangana,Bamboo Toy,Bamboo,246.05,2.5,61.46,153.65,3,4,Very High,1.2,399.7,631.01,621.73
Rajasthan,Clay/Terracotta Toy,Clay,52.35,8.0,63.19,505.52,3,3,High,1.1,557.87,822.97,844.92
Gujarat,Wood Craft,Bamboo,174.44,5.1,68.77,350.73,4,1,High,1.1,525.17,721.86,749.98
Andhra Pradesh,Textile Craft,Silk,277.46,6.2,55.74,345.59,4,1,Medium,1.0,623.05,1001.16,889.68
Uttar Pradesh,Bamboo Toy,Cane,163.87,7.6,67.79,515.2,4,3,High,1.1,679.07,986.88,1023.38
Telangana,Wood Craft,Bamboo,167.93,11.5,76.77,882.85,5,5,Medium,1.0,1050.78,1737.56,1634.09
Tamil Nadu,Wood Craft,Wood,80.84,8.6,74.26,638.64,2,4,Medium,1.0,719.48,882.04,922.52
Odisha,Bamboo Toy,Bamboo,161.1,7.0,53.78,376.46,2,2,Medium,1.0,537.56,765.65,708.37
Odisha,Home Decor,Wood,106.13,9.6,71.62,687.55,3,3,Very High,1.2,793.68,946.89,1173.88
Tamil Nadu,Textile Craft,Cotton,159.07,11.1,66.37,736.71,2,2,Low,0.9,895.78,1147.49,1054.73
Karnataka,Bamboo Craft,Cane,251.26,7.1,70.5,500.55,5,4,Medium,1.0,751.81,1017.62,1038.76
Uttar Pradesh,Pottery,Clay,133.12,9.0,71.32,641.88,3,1,Medium,1.0,775.0,1183.83,1055.85
Gujarat,Wooden Toy,Bamboo,193.35,8.8,59.58,524.3,2,1,Medium,1.0,717.65,1081.94,1001.74
Odisha,Home Decor,Cotton,152.72,6.6,64.35,424.71,5,1,Low,0.9,577.43,984.93,853.07
Odisha,Wooden Toy,Bamboo,97.3,8.4,50.79,426.64,3,4,Very High,1.2,523.94,625.89,753.18
Gujarat,Bamboo Craft,Bamboo,75.83,6.8,84.69,575.89,1,4,Medium,1.0,651.72,744.89,777.36
Rajasthan,Wooden Toy,Wood,367.48,5.6,56.29,315.22,3,1,High,1.1,682.7,1099.8,1056.05
Kerala,Textile Craft,Silk,528.62,3.9,76.11,296.83,4,5,Medium,1.0,825.45,1496.84,1386.29
Telangana,Handmade Jewelry,Copper,338.65,3.5,60.93,213.25,3,4,Very High,1.2,551.9,952.28,960.94
Tamil Nadu,Bamboo Toy,Cane,84.82,7.9,61.01,481.98,2,1,Low,0.9,566.8,828.02,724.11
Gujarat,Wooden Toy,Wood,272.14,3.5,69.46,243.11,3,4,Very High,1.2,515.25,734.24,813.58
Rajasthan,Wooden Toy,Bamboo,72.19,4.9,71.64,351.04,5,1,High,1.1,423.23,630.63,627.47
Gujarat,Wood Craft,Wood,277.62,7.8,78.92,615.58,3,1,Low,0.9,893.2,1128.2,1072.82
Telangana,Home Decor,Bamboo,241.14,5.1,75.78,386.48,5,4,Medium,1.0,627.62,1201.76,1062.06
Tamil Nadu,Wood Craft,Bamboo,152.89,12.4,76.27,945.75,1,1,Very High,1.2,1098.64,1428.46,1599.59
Rajasthan,Textile Craft,Wool,435.9,3.4,47.06,160.0,1,2,Medium,1.0,595.9,888.87,841.04
Gujarat,Bamboo Craft,Cane,70.1,6.6,75.0,495.0,4,3,High,1.1,565.1,816.17,849.67
Kerala,Wood Craft,Wood,392.26,4.0,84.29,337.16,2,2,Very High,1.2,729.42,869.2,1055.98
Karnataka,Handmade Jewelry,Silver,1136.92,4.4,63.66,280.1,2,1,Medium,1.0,1417.02,2288.99,2068.65
Rajasthan,Wood Craft,Wood,153.28,6.5,59.33,385.64,5,2,Low,0.9,538.92,739.07,739.77
Uttar Pradesh,Bamboo Toy,Bamboo,100.67,4.8,65.87,316.18,1,4,High,1.1,416.85,617.9,609.05
Karnataka,Wooden Toy,Bamboo,215.45,6.8,82.02,557.74,2,5,Medium,1.0,773.19,1177.07,1101.57
Rajasthan,Wooden Toy,Wood,254.53,9.6,71.85,689.76,4,3,High,1.1,944.29,1585.65,1498.33
Andhra Pradesh,Handmade Jewelry,Silver,1183.22,9.7,55.7,540.29,2,5,High,1.1,1723.51,2766.14,2756.59
Uttar Pradesh,Bamboo Craft,Bamboo,233.31,6.0,70.82,424.92,3,3,Medium,1.0,658.23,1038.36,954.84
Tamil Nadu,Handmade Jewelry,Copper,715.64,3.4,77.63,263.94,3,2,High,1.1,979.58,1662.57,1611.78
Andhra Pradesh,Metal Craft,Iron,260.13,7.1,64.75,459.72,3,4,High,1.1,719.86,1241.8,1222.13
Karnataka,Wooden Toy,Bamboo,52.4,3.7,74.62,276.09,2,1,High,1.1,328.49,419.46,445.29
West Bengal,Wooden Toy,Bamboo,186.45,4.9,74.03,362.75,4,5,Low,0.9,549.2,914.34,780.69
Karnataka,Clay/Terracotta Toy,Clay,30.73,5.3,80.58,427.07,3,4,High,1.1,457.8,589.7,670.23
Kerala,Metal Craft,Iron,290.34,11.5,78.17,898.96,5,5,Low,0.9,1189.3,2199.65,1859.67
Rajasthan,Handmade Jewelry,Brass,465.85,3.4,52.79,179.49,2,1,Very High,1.2,645.34,1049.82,1057.71
Gujarat,Home Decor,Wood,188.63,10.2,55.04,561.41,1,2,Medium,1.0,750.04,877.99,929.5
Andhra Pradesh,Handmade Jewelry,Copper,412.85,6.0,50.96,305.76,3,4,High,1.1,718.61,1241.08,1225.41
Odisha,Handmade Jewelry,Silver,1470.19,2.2,56.89,125.16,4,2,Medium,1.0,1595.35,2268.43,2308.09
Karnataka,Pottery,Clay,176.78,5.5,64.4,354.2,3,3,Very High,1.2,530.98,833.06,832.74
West Bengal,Bamboo Toy,Cane,125.29,4.6,61.98,285.11,3,3,High,1.1,410.4,550.12,583.62
Karnataka,Wood Craft,Wood,292.0,14.0,84.33,1180.62,2,3,Medium,1.0,1472.62,2587.8,2316.71
Odisha,Handmade Jewelry,Silver,1104.34,7.8,70.24,547.87,5,1,Very High,1.2,1652.21,2335.81,2718.18
Telangana,Wood Craft,Bamboo,173.43,11.1,69.91,776.0,4,4,Low,0.9,949.43,1332.82,1332.15
Uttar Pradesh,Bamboo Toy,Bamboo,204.57,5.0,50.31,251.55,5,5,Very High,1.2,456.12,818.65,817.5
Gujarat,Pottery,Clay,152.27,7.5,76.0,570.0,3,1,Medium,1.0,722.27,1163.96,1057.01
Andhra Pradesh,Handmade Jewelry,Silver,803.5,10.3,68.09,701.33,4,4,High,1.1,1504.83,2548.26,2545.43
Andhra Pradesh,Pottery,Clay,162.89,2.6,59.33,154.26,3,2,Low,0.9,317.15,391.46,374.91
Andhra Pradesh,Pottery,Terracotta,74.79,3.9,53.43,208.38,1,2,Medium,1.0,283.17,343.87,345.44
Gujarat,Wood Craft,Wood,292.08,6.6,71.36,470.98,4,5,Very High,1.2,763.06,1100.38,1285.1
West Bengal,Wood Craft,Wood,206.87,7.1,62.45,443.39,4,1,High,1.1,650.26,842.13,905.47
Kerala,Pottery,Terracotta,199.51,3.2,73.83,236.26,4,2,Very High,1.2,435.77,574.39,640.46
West Bengal,Handmade Jewelry,Brass,418.74,5.8,60.24,349.39,1,5,Very High,1.2,768.13,1203.78,1239.3
West Bengal,Metal Craft,Copper,771.53,15.5,76.35,1183.42,2,4,Very High,1.2,1954.95,2950.31,3159.77
Uttar Pradesh,Wooden Toy,Bamboo,188.55,2.5,64.61,161.53,1,4,High,1.1,350.08,484.94,478.62
Odisha,Bamboo Craft,Bamboo,174.22,7.4,50.03,370.22,5,1,Medium,1.0,544.44,957.17,852.25
Andhra Pradesh,Home Decor,Bamboo,120.55,10.5,78.35,822.67,1,1,Very High,1.2,943.22,1351.84,1493.89
Andhra Pradesh,Home Decor,Cotton,240.94,6.6,53.43,352.64,1,4,Medium,1.0,593.58,797.39,791.57
Uttar Pradesh,Textile Craft,Wool,248.42,7.3,63.09,460.56,2,2,Medium,1.0,708.98,841.85,880.87
Tamil Nadu,Bamboo Craft,Cane,71.3,5.1,56.9,290.19,5,3,Low,0.9,361.49,568.41,522.66
Andhra Pradesh,Wooden Toy,Bamboo,204.76,2.9,67.34,195.29,2,3,Medium,1.0,400.05,540.47,510.2
Uttar Pradesh,Wooden Toy,Bamboo,57.71,4.9,54.35,266.32,1,5,High,1.1,324.03,527.59,507.97
West Bengal,Metal Craft,Iron,470.59,7.3,79.0,576.7,1,3,Low,0.9,1047.29,1578.21,1370.38
Uttar Pradesh,Wood Craft,Wood,342.12,8.7,56.95,495.46,2,2,Very High,1.2,837.59,1276.17,1320.54
Karnataka,Bamboo Toy,Cane,219.44,2.9,84.79,245.89,2,4,Very High,1.2,465.33,571.44,667.52
Karnataka,Wooden Toy,Bamboo,195.2,8.0,73.77,590.16,4,1,Low,0.9,785.36,1005.51,923.93
Andhra Pradesh,Handmade Jewelry,Beads,209.14,6.9,61.05,421.25,4,1,Very High,1.2,630.38,1132.73,1142.01
Gujarat,Home Decor,Bamboo,227.94,13.6,67.54,918.54,1,2,High,1.1,1146.48,2005.72,1874.07
Rajasthan,Wood Craft,Bamboo,198.58,10.1,56.66,572.27,1,1,Low,0.9,770.85,1230.26,1038.46
Karnataka,Handmade Jewelry,Silver,894.07,3.4,68.82,233.99,5,3,Medium,1.0,1128.06,1978.87,1867.43
West Bengal,Metal Craft,Brass,790.6,4.9,51.71,253.38,1,5,Very High,1.2,1043.98,1561.57,1673.71
Rajasthan,Bamboo Toy,Bamboo,99.92,4.2,53.07,222.89,4,3,Low,0.9,322.81,513.6,444.85
Rajasthan,Textile Craft,Wool,213.36,9.1,70.71,643.46,3,2,Low,0.9,856.82,1147.58,1102.93
Uttar Pradesh,Wooden Toy,Wood,251.71,8.9,50.19,446.69,5,5,Very High,1.2,698.4,1291.55,1292.54
Rajasthan,Clay/Terracotta Toy,Clay,164.06,7.8,71.06,554.27,1,2,High,1.1,718.33,839.56,881.03
Andhra Pradesh,Handmade Jewelry,Copper,450.96,7.4,54.15,400.71,4,5,Medium,1.0,851.67,1610.65,1481.43
Kerala,Bamboo Toy,Bamboo,94.76,3.7,74.89,277.09,4,3,Medium,1.0,371.85,608.72,554.56
Rajasthan,Pottery,Clay,64.19,4.2,73.29,307.82,4,4,Low,0.9,372.01,437.2,445.68
Karnataka,Pottery,Terracotta,149.64,7.8,64.26,501.23,1,2,Very High,1.2,650.87,877.9,892.87
Tamil Nadu,Textile Craft,Cotton,246.03,4.3,82.89,356.43,4,1,High,1.1,602.46,966.23,901.63
Kerala,Wooden Toy,Wood,300.2,9.6,81.68,784.13,3,5,Medium,1.0,1084.33,1498.97,1558.16
Rajasthan,Home Decor,Cotton,331.61,9.6,49.62,476.35,4,4,Very High,1.2,807.96,1410.62,1468.43
Tamil Nadu,Bamboo Craft,Cane,259.95,7.9,71.28,563.11,4,2,Very High,1.2,823.06,1401.93,1411.52
Odisha,Textile Craft,Cotton,179.9,4.5,74.9,337.05,4,5,Low,0.9,516.95,748.4,701.75
Telangana,Bamboo Craft,Cane,226.95,11.3,75.62,854.51,5,5,Medium,1.0,1081.46,1493.43,1571.05
Uttar Pradesh,Clay/Terracotta Toy,Clay,167.51,4.3,74.24,319.23,1,2,Low,0.9,486.74,661.61,612.6
Tamil Nadu,Home Decor,Bamboo,220.54,6.5,84.3,547.95,3,1,Medium,1.0,768.49,1032.52,1014.14
Kerala,Textile Craft,Wool,341.51,3.2,66.59,213.09,5,1,High,1.1,554.6,690.97,775.91
Rajasthan,Metal Craft,Iron,184.41,6.9,64.94,448.09,4,2,Medium,1.0,632.5,1020.83,944.79
Tamil Nadu,Clay/Terracotta Toy,Terracotta,106.14,2.1,83.17,174.66,4,1,Very High,1.2,280.8,411.94,431.16
Telangana,Bamboo Toy,Bamboo,190.04,8.0,71.17,569.36,4,2,Very High,1.2,759.4,1161.18,1170.88
Telangana,Textile Craft,Wool,268.15,6.9,59.2,408.48,1,3,Very High,1.2,676.63,899.33,1018.33
Karnataka,Wood Craft,Bamboo,211.57,6.0,72.26,433.56,3,1,Medium,1.0,645.13,868.03,898.72
West Bengal,Home Decor,Wood,295.71,6.9,68.22,470.72,1,3,Low,0.9,766.43,936.68,887.33
Telangana,Home Decor,Cotton,263.8,10.9,69.82,761.04,4,3,High,1.1,1024.84,1624.65,1709.58
Odisha,Clay/Terracotta Toy,Terracotta,74.23,7.0,45.42,317.94,1,4,High,1.1,392.17,561.07,547.67
Gujarat,Pottery,Terracotta,206.78,2.5,81.41,203.52,3,1,High,1.1,410.3,570.05,581.32
Tamil Nadu,Bamboo Toy,Bamboo,82.87,4.8,59.66,286.37,4,1,High,1.1,369.24,473.61,524.45
Andhra Pradesh,Handmade Jewelry,Brass,497.17,5.8,70.86,410.99,5,1,High,1.1,908.16,1553.6,1560.67
Rajasthan,Handmade Jewelry,Copper,805.41,2.4,58.16,139.58,1,5,Very High,1.2,944.99,1233.49,1530.6
West Bengal,Home Decor,Clay,133.46,4.6,71.32,328.07,3,2,Very High,1.2,461.53,638.19,720.23
Odisha,Clay/Terracotta Toy,Clay,164.71,6.0,55.91,335.46,2,3,Medium,1.0,500.17,559.91,589.14
Andhra Pradesh,Metal Craft,Brass,854.37,8.7,61.61,536.01,4,5,High,1.1,1390.38,2186.04,2355.23
Tamil Nadu,Home Decor,Cotton,344.34,9.1,75.96,691.24,4,5,Low,0.9,1035.58,1956.17,1654.62
Gujarat,Wood Craft,Bamboo,240.03,13.9,75.0,1042.5,5,3,Medium,1.0,1282.53,1756.85,1882.87
Telangana,Clay/Terracotta Toy,Terracotta,175.57,3.0,60.26,180.78,3,4,Very High,1.2,356.35,551.53,573.42
West Bengal,Bamboo Craft,Cane,156.84,8.7,57.14,497.12,2,5,High,1.1,653.96,800.57,873.07
Uttar Pradesh,Metal Craft,Iron,177.78,12.3,60.84,748.33,4,5,Very High,1.2,926.11,1570.65,1713.04
West Bengal,Bamboo Craft,Cane,244.49,11.2,50.75,568.4,3,5,Low,0.9,812.89,1361.73,1147.57
Telangana,Home Decor,Wood,270.19,10.9,70.92,773.03,4,5,Medium,1.0,1043.22,1397.59,1457.5
Uttar Pradesh,Home Decor,Clay,81.47,11.5,55.15,634.23,1,1,Medium,1.0,715.7,963.45,969.36
