state,region,craft_category,material,material_cost,labour_cost,labour_hours,product_size,complexity,current_market_price,demand_score,season_score,recommended_price
Andhra Pradesh,South,Bamboo Craft,Bamboo,335.58,169.79,5.2,Small,5,800.36,0.54,0.99,849.93
Gujarat,West,Stone Carving,Marble,259.89,1551.36,28.4,Large,1,2011.09,0.5,0.35,1953.66
Uttar Pradesh,North,Painting,Cloth,405.23,803.75,17.9,Medium,4,1909.95,0.89,0.61,2142.48
Gujarat,West,Jewelry,Terracotta,110.89,245.6,5.0,Small,5,549.84,0.35,0.55,582.56
Madhya Pradesh,Central,Handloom Textile,Silk,518.61,1026.79,23.9,Large,2,1960.93,0.86,0.72,2135.17
Uttar Pradesh,North,Painting,Paper,418.41,540.02,12.7,Medium,5,1230.21,0.4,0.37,1278.41
Telangana,South,Bamboo Craft,Bamboo,212.43,276.03,5.3,Medium,1,532.13,0.52,0.65,580.95
Maharashtra,West,Bamboo Craft,Cane,835.33,1063.52,25.2,Large,5,3015.01,0.83,0.4,3051.67
Punjab,North,Bamboo Craft,Cane,612.75,655.78,14.4,Large,1,1377.57,0.31,0.6,1374.24
Andhra Pradesh,South,Stone Carving,Marble,735.06,467.79,8.6,Large,3,1626.29,0.71,0.45,1736.11
Gujarat,West,Stone Carving,Soapstone,544.77,335.97,8.9,Medium,5,1559.5,0.91,0.77,1731.19
Telangana,South,Painting,Canvas,194.38,513.6,12.6,Medium,1,934.14,1.0,0.64,1048.19
Assam,Northeast,Pottery,Terracotta,370.86,426.63,9.8,Small,5,1132.41,0.8,0.71,1192.61
Tamil Nadu,South,Jewelry,Terracotta,339.8,338.93,5.9,Medium,4,988.82,0.53,0.97,1071.29
Karnataka,South,Bamboo Craft,Bamboo,240.03,99.06,2.4,Small,3,434.0,0.37,0.74,457.81
Gujarat,West,Painting,Canvas,203.46,189.85,4.5,Medium,2,572.4,0.95,0.8,642.53
Punjab,North,Pottery,Terracotta,127.16,944.85,18.9,Medium,2,1181.5,0.5,0.71,1292.94
Rajasthan,West,Wooden Toy,Wood,177.88,485.73,13.0,Medium,3,1047.06,0.8,0.84,1166.19
Andhra Pradesh,South,Bamboo Craft,Bamboo,579.78,119.78,3.0,Medium,1,785.97,0.47,0.99,854.24
Kerala,South,Jewelry,Terracotta,463.45,197.0,5.3,Medium,4,900.07,0.5,0.59,881.31
Gujarat,West,Painting,Cloth,357.79,466.87,11.6,Small,1,1046.27,0.54,0.3,1098.68
West Bengal,East,Handloom Textile,Wool,162.1,236.29,4.4,Medium,1,455.06,0.73,0.33,466.21
Rajasthan,West,Handloom Textile,Cotton,429.73,1233.25,22.7,Large,1,2026.12,0.58,0.96,2242.6
Uttar Pradesh,North,Handloom Textile,Cotton,526.46,1493.78,26.1,Large,3,2634.13,0.36,0.96,2826.23
Telangana,South,Bamboo Craft,Bamboo,192.51,876.96,15.8,Medium,5,1494.1,0.5,0.97,1529.33
Odisha,East,Metal Craft,Brass,238.15,360.29,7.3,Small,1,541.35,0.31,0.97,537.91
Telangana,South,Metal Craft,Copper,131.77,1008.64,17.4,Large,5,1703.03,0.77,0.88,1879.96
Odisha,East,Stone Carving,Soapstone,506.03,501.8,15.6,Large,2,1293.41,0.78,0.65,1395.8
Rajasthan,West,Painting,Cloth,102.28,284.89,8.1,Small,2,529.52,0.91,0.73,615.85
Punjab,North,Jewelry,Silver,231.43,87.85,1.8,Small,2,400.88,0.48,0.86,443.13
Madhya Pradesh,Central,Bamboo Craft,Bamboo,541.57,757.5,14.4,Large,1,1259.49,0.39,0.68,1231.22
Odisha,East,Bamboo Craft,Bamboo,314.07,924.36,16.6,Medium,1,1192.47,0.37,0.36,1232.68
Gujarat,West,Metal Craft,Bronze,228.28,706.95,21.4,Large,1,1278.67,0.74,0.55,1324.29
Odisha,East,Wooden Toy,Wood,656.93,442.12,8.6,Large,1,1375.76,0.91,0.39,1498.61
Karnataka,South,Pottery,Terracotta,151.18,316.91,9.1,Medium,4,672.96,0.79,0.83,739.28
Tamil Nadu,South,Metal Craft,Copper,804.29,1230.49,27.1,Large,2,2827.41,0.97,0.67,3262.11
Andhra Pradesh,South,Wooden Toy,Bamboo,356.07,442.62,9.9,Medium,1,1008.72,0.89,0.88,1107.52
Uttar Pradesh,North,Metal Craft,Bronze,533.22,650.13,17.5,Large,2,1504.82,0.86,0.64,1574.57
Gujarat,West,Pottery,Clay,213.75,716.5,18.3,Medium,1,1061.87,0.42,0.62,1031.52
Punjab,North,Pottery,Terracotta,163.1,325.86,7.0,Small,5,785.75,0.55,0.61,807.8
Andhra Pradesh,South,Metal Craft,Bronze,140.38,161.81,3.7,Small,3,461.76,0.83,0.44,468.94
Madhya Pradesh,Central,Jewelry,Beads,196.63,381.54,9.5,Small,1,632.71,0.69,0.44,631.91
West Bengal,East,Painting,Canvas,836.14,427.36,7.6,Large,4,1607.1,0.55,0.81,1774.88
Rajasthan,West,Handloom Textile,Cotton,94.32,134.37,3.0,Small,1,288.76,0.36,0.44,303.12
Tamil Nadu,South,Painting,Canvas,181.69,519.06,11.2,Small,5,1100.05,0.49,0.79,1212.45
Tamil Nadu,South,Pottery,Terracotta,342.64,634.37,20.1,Large,2,1291.84,0.38,0.3,1321.0
Maharashtra,West,Metal Craft,Copper,520.56,413.42,10.6,Medium,1,1077.49,0.41,0.5,1119.49
Tamil Nadu,South,Bamboo Craft,Bamboo,382.21,91.62,3.0,Medium,3,663.2,0.37,0.59,681.22
Punjab,North,Stone Carving,Soapstone,793.53,600.49,14.7,Large,1,1564.26,0.38,0.91,1568.23
Tamil Nadu,South,Wooden Toy,Wood,229.29,312.02,6.4,Small,2,771.58,0.96,0.71,818.16
Rajasthan,West,Stone Carving,Soapstone,172.84,226.11,7.3,Large,3,570.09,0.82,0.81,650.21
Madhya Pradesh,Central,Pottery,Terracotta,166.68,258.54,6.9,Medium,2,462.51,0.56,0.48,472.83
Tamil Nadu,South,Jewelry,Beads,632.48,89.09,2.6,Medium,3,846.2,0.34,0.74,893.94
Assam,Northeast,Jewelry,Terracotta,366.69,510.64,10.9,Medium,4,1018.38,0.42,0.44,1036.66
Uttar Pradesh,North,Bamboo Craft,Bamboo,123.54,135.94,2.3,Small,1,286.25,0.32,0.86,287.31
Assam,Northeast,Bamboo Craft,Bamboo,155.95,213.88,4.2,Medium,5,562.24,0.75,0.85,627.31
Maharashtra,West,Painting,Canvas,250.92,486.34,8.8,Large,4,1135.18,0.45,0.35,1129.04
Punjab,North,Stone Carving,Marble,892.83,641.17,19.6,Large,2,2002.51,0.96,0.48,2167.71
Maharashtra,West,Painting,Canvas,108.69,347.11,10.3,Medium,4,737.54,0.58,0.55,793.1
Karnataka,South,Pottery,Terracotta,248.87,498.53,12.1,Large,3,1016.43,0.41,0.86,1022.24
Karnataka,South,Handloom Textile,Wool,285.36,170.96,3.5,Medium,5,709.38,0.38,0.99,733.28
West Bengal,East,Pottery,Terracotta,605.99,1235.51,26.5,Large,2,2168.47,0.42,0.57,2242.48
Maharashtra,West,Stone Carving,Soapstone,277.75,596.6,10.5,Small,5,1588.89,0.94,0.37,1762.39
Odisha,East,Wooden Toy,Wood,755.82,644.07,18.4,Large,2,1608.71,0.86,0.8,1772.77
West Bengal,East,Painting,Cloth,110.89,143.55,4.7,Small,1,278.79,0.58,0.68,298.5
Punjab,North,Painting,Cloth,342.7,114.29,3.4,Small,3,710.13,0.9,0.41,794.16
Telangana,South,Wooden Toy,Wood,540.74,931.67,28.3,Large,4,2059.06,0.51,0.75,2255.09
Gujarat,West,Handloom Textile,Cotton,116.75,539.3,11.3,Medium,4,1032.52,0.76,0.48,1138.34
Punjab,North,Painting,Canvas,189.17,759.45,16.2,Medium,4,1340.07,0.83,0.8,1487.06
Rajasthan,West,Pottery,Terracotta,848.89,814.17,13.8,Large,1,2042.09,0.62,0.4,2216.24
Tamil Nadu,South,Jewelry,Beads,161.9,592.59,10.5,Small,5,1219.4,0.55,0.36,1219.97
West Bengal,East,Wooden Toy,Wood,777.66,628.27,14.1,Large,5,2109.47,0.84,0.57,2254.84
Uttar Pradesh,North,Metal Craft,Bronze,428.57,884.5,16.3,Large,2,1637.38,0.55,0.67,1671.49
Uttar Pradesh,North,Painting,Cloth,235.41,930.71,18.0,Medium,1,1237.26,0.7,0.75,1349.25
Assam,Northeast,Handloom Textile,Silk,365.32,456.77,11.2,Medium,5,1122.43,0.36,0.44,1109.94
Punjab,North,Painting,Paper,512.01,118.28,3.8,Large,3,876.62,0.8,0.68,926.23
Madhya Pradesh,Central,Painting,Canvas,310.66,103.52,2.9,Small,2,436.98,0.62,0.5,463.07
Karnataka,South,Stone Carving,Soapstone,666.82,1029.26,24.2,Large,3,2379.28,0.35,0.49,2406.59
West Bengal,East,Stone Carving,Marble,298.41,50.1,1.1,Small,2,405.14,0.33,0.7,431.82
Maharashtra,West,Bamboo Craft,Cane,239.19,350.1,6.0,Small,3,887.13,0.77,0.35,908.72
Odisha,East,Handloom Textile,Cotton,214.43,284.79,6.0,Small,4,658.09,0.55,0.41,698.62
Andhra Pradesh,South,Painting,Canvas,677.77,656.14,11.3,Large,3,1839.52,0.94,0.45,2053.75
Tamil Nadu,South,Jewelry,Silver,815.19,1587.46,28.0,Large,5,3551.24,0.72,0.67,3707.66
Tamil Nadu,South,Painting,Cloth,506.08,887.63,19.0,Large,5,2353.15,0.82,0.5,2416.03
West Bengal,East,Bamboo Craft,Cane,194.78,472.46,9.3,Small,5,1051.27,0.99,0.49,1134.68
Madhya Pradesh,Central,Wooden Toy,Bamboo,490.11,1263.16,25.0,Large,4,2587.89,0.92,0.44,2673.59
West Bengal,East,Bamboo Craft,Bamboo,866.42,437.76,11.1,Large,2,1409.8,0.66,0.96,1509.85
Tamil Nadu,South,Jewelry,Terracotta,839.52,464.07,12.9,Large,5,2211.01,0.6,0.57,2378.18
Rajasthan,West,Jewelry,Beads,544.3,1252.81,28.5,Large,2,2218.85,0.34,0.48,2134.59
Telangana,South,Jewelry,Beads,610.64,574.53,15.1,Medium,4,1954.91,0.71,0.81,2204.91
Punjab,North,Bamboo Craft,Bamboo,368.51,712.34,15.2,Medium,5,1540.26,0.69,0.38,1613.27
Madhya Pradesh,Central,Metal Craft,Bronze,345.84,155.06,3.0,Large,3,550.97,0.32,0.72,587.3
Madhya Pradesh,Central,Handloom Textile,Cotton,219.47,79.14,1.7,Small,5,428.92,0.89,1.0,474.64
Madhya Pradesh,Central,Metal Craft,Bronze,587.73,242.31,5.0,Medium,2,883.36,0.58,0.33,881.08
Madhya Pradesh,Central,Bamboo Craft,Cane,696.32,1042.33,27.4,Large,1,1921.4,0.87,0.34,1957.55
Punjab,North,Stone Carving,Soapstone,904.59,1124.09,22.6,Large,5,3565.22,0.88,0.75,4030.37
Uttar Pradesh,North,Jewelry,Terracotta,896.71,539.54,16.1,Large,5,2230.31,0.67,0.39,2319.37
Telangana,South,Jewelry,Silver,642.96,96.78,2.7,Large,1,870.85,0.64,0.97,937.96
Karnataka,South,Jewelry,Silver,300.14,296.16,7.6,Small,1,770.89,0.59,0.45,766.01
Andhra Pradesh,South,Metal Craft,Brass,288.23,76.97,2.1,Medium,3,496.3,0.85,0.44,531.38
Kerala,South,Wooden Toy,Bamboo,53.49,103.03,1.9,Small,5,280.13,0.84,0.94,318.54
Karnataka,South,Stone Carving,Soapstone,68.32,531.51,9.6,Small,5,959.43,0.86,0.66,1088.69
Assam,Northeast,Handloom Textile,Wool,730.82,981.18,28.3,Large,5,2340.22,0.46,0.45,2295.0
Gujarat,West,Handloom Textile,Wool,175.99,885.44,28.8,Large,3,1763.04,0.88,0.56,1930.54
Madhya Pradesh,Central,Wooden Toy,Bamboo,584.91,541.89,17.9,Medium,4,1369.78,0.35,0.48,1427.33
Punjab,North,Stone Carving,Marble,210.98,274.54,7.7,Small,3,654.62,0.86,0.98,733.97
Andhra Pradesh,South,Painting,Canvas,192.34,775.44,17.2,Large,3,1222.56,0.4,0.61,1248.11
Punjab,North,Handloom Textile,Wool,254.98,58.11,1.1,Small,3,397.71,0.8,0.56,439.75
Maharashtra,West,Bamboo Craft,Bamboo,384.31,142.94,3.6,Small,2,632.27,0.43,0.7,641.48
Madhya Pradesh,Central,Pottery,Terracotta,293.95,299.48,7.2,Small,4,678.44,0.59,0.69,683.14
Telangana,South,Metal Craft,Brass,358.44,97.29,1.9,Small,5,764.59,0.94,0.49,840.94
Assam,Northeast,Metal Craft,Brass,573.76,949.8,18.2,Medium,4,1768.84,0.36,0.77,1807.62
Madhya Pradesh,Central,Bamboo Craft,Bamboo,67.2,166.52,3.1,Small,3,272.09,0.62,0.51,294.95
Odisha,East,Wooden Toy,Bamboo,499.44,214.56,6.4,Medium,5,996.74,0.48,0.94,1058.24
West Bengal,East,Stone Carving,Marble,620.97,655.98,12.1,Large,3,1511.85,0.67,0.38,1580.13
West Bengal,East,Handloom Textile,Cotton,906.72,588.91,10.5,Large,1,1562.79,0.83,0.47,1605.46
Punjab,North,Bamboo Craft,Cane,731.93,316.76,7.7,Large,5,1474.31,0.65,0.81,1567.58
Gujarat,West,Pottery,Terracotta,219.78,376.4,6.9,Small,2,791.04,0.42,0.87,829.74
Uttar Pradesh,North,Stone Carving,Soapstone,471.74,303.95,8.9,Medium,3,1096.93,0.77,0.67,1165.18
Andhra Pradesh,South,Painting,Paper,881.77,582.86,17.9,Large,1,1846.76,0.61,0.83,1973.82
Tamil Nadu,South,Stone Carving,Soapstone,363.16,165.04,3.9,Small,5,938.34,0.93,0.93,1099.85
Odisha,East,Handloom Textile,Cotton,194.57,998.39,25.2,Large,3,1394.13,0.42,0.47,1370.84
Gujarat,West,Pottery,Terracotta,259.52,155.54,4.0,Medium,5,681.9,0.7,0.61,745.46
Madhya Pradesh,Central,Metal Craft,Brass,870.55,895.1,22.4,Large,3,2061.9,0.82,0.41,2162.52
West Bengal,East,Painting,Cloth,332.7,118.02,3.7,Small,3,543.91,0.39,0.9,550.87
Uttar Pradesh,North,Handloom Textile,Silk,586.45,809.51,16.3,Large,1,1466.21,0.46,0.91,1574.99
Tamil Nadu,South,Bamboo Craft,Bamboo,133.54,494.73,12.2,Large,1,806.97,0.68,0.35,813.86
Andhra Pradesh,South,Handloom Textile,Wool,459.14,735.64,15.7,Medium,1,1468.02,0.82,0.76,1663.1
Andhra Pradesh,South,Jewelry,Terracotta,153.15,382.24,7.3,Small,2,677.46,0.57,0.51,726.21
Karnataka,South,Painting,Paper,600.76,558.25,11.2,Medium,1,1429.65,0.93,0.37,1578.29
Tamil Nadu,South,Pottery,Clay,338.31,441.51,10.4,Small,3,953.73,0.36,0.61,943.83
West Bengal,East,Pottery,Clay,512.47,159.0,2.9,Medium,4,826.87,0.6,0.72,860.12
Gujarat,West,Painting,Paper,130.23,1003.03,18.5,Medium,4,1908.17,0.62,0.46,1951.61
Rajasthan,West,Wooden Toy,Bamboo,255.23,1008.82,17.3,Large,1,1566.09,0.3,0.47,1498.52
West Bengal,East,Wooden Toy,Wood,215.12,977.47,17.5,Large,5,1768.4,0.63,1.0,1834.03
Karnataka,South,Pottery,Terracotta,953.98,509.81,13.2,Large,1,1645.78,0.69,0.51,1643.48
Telangana,South,Metal Craft,Bronze,207.35,481.13,10.2,Small,3,1012.41,1.0,0.5,1074.82
Punjab,North,Painting,Cloth,171.88,354.98,6.6,Medium,1,618.97,0.93,0.98,730.0
Maharashtra,West,Bamboo Craft,Bamboo,164.89,123.42,2.2,Small,4,458.32,0.75,0.42,473.22
Punjab,North,Metal Craft,Bronze,307.88,358.07,6.0,Small,3,809.95,0.34,0.55,813.79
Uttar Pradesh,North,Stone Carving,Marble,385.39,1220.46,21.7,Large,5,2820.71,0.96,0.86,3196.98
Kerala,South,Pottery,Clay,339.06,180.4,4.3,Small,5,765.7,0.52,0.63,834.79
Odisha,East,Jewelry,Terracotta,382.79,229.02,5.0,Large,1,578.82,0.34,0.38,571.3
Telangana,South,Handloom Textile,Wool,483.93,1226.33,23.5,Large,3,2279.65,0.6,0.53,2447.29
Andhra Pradesh,South,Jewelry,Terracotta,163.74,145.44,2.7,Large,2,380.71,0.63,0.39,412.64
Kerala,South,Bamboo Craft,Bamboo,841.98,938.25,21.1,Large,3,2721.64,0.66,0.98,2875.69
Andhra Pradesh,South,Pottery,Clay,801.33,276.69,7.6,Large,5,1920.21,0.77,0.58,1970.13
Assam,Northeast,Wooden Toy,Bamboo,549.68,1519.48,26.6,Large,5,2700.35,0.41,0.56,2643.31
Tamil Nadu,South,Metal Craft,Bronze,388.81,388.59,11.1,Small,3,1086.76,0.38,0.36,1046.06
Tamil Nadu,South,Handloom Textile,Wool,469.68,681.18,14.2,Large,4,1711.16,0.35,0.46,1783.89
Rajasthan,West,Stone Carving,Marble,776.28,115.45,2.9,Large,2,1345.42,0.74,0.49,1448.07
Tamil Nadu,South,Metal Craft,Bronze,75.17,646.06,11.0,Small,2,830.74,0.35,0.67,833.97
Rajasthan,West,Painting,Cloth,180.6,693.12,11.8,Medium,5,1491.96,0.65,0.36,1519.64
Uttar Pradesh,North,Metal Craft,Bronze,838.98,497.41,13.9,Large,2,1489.79,0.43,0.84,1596.61
Odisha,East,Stone Carving,Soapstone,195.3,320.94,7.3,Medium,2,623.81,0.96,0.95,697.36
Karnataka,South,Stone Carving,Marble,102.29,289.2,6.6,Small,4,617.01,0.93,0.95,696.85
Telangana,South,Stone Carving,Marble,872.84,713.6,23.7,Large,3,2032.21,0.52,0.6,2038.08
Maharashtra,West,Painting,Cloth,101.16,488.59,12.9,Medium,3,837.26,0.34,0.46,866.41
Maharashtra,West,Pottery,Clay,525.78,795.1,13.4,Large,5,1995.86,0.44,0.45,1948.32
Tamil Nadu,South,Metal Craft,Brass,438.67,1279.36,26.4,Large,2,2013.69,0.59,0.95,2099.82
Telangana,South,Pottery,Clay,248.06,243.26,7.8,Small,5,796.9,0.58,0.75,855.66
Uttar Pradesh,North,Wooden Toy,Bamboo,389.27,209.79,4.9,Large,2,687.62,0.39,0.96,704.6
Karnataka,South,Metal Craft,Bronze,763.7,609.17,15.5,Large,4,2250.83,0.87,0.91,2392.74
Uttar Pradesh,North,Bamboo Craft,Cane,397.14,511.43,15.0,Medium,2,971.72,0.46,0.92,1051.06
Punjab,North,Metal Craft,Brass,345.31,287.02,9.5,Medium,5,1025.41,0.87,0.55,1135.01
West Bengal,East,Pottery,Terracotta,473.47,845.3,18.4,Medium,5,1915.4,0.58,0.97,2016.89
Karnataka,South,Handloom Textile,Wool,226.23,1005.29,24.6,Large,2,1559.21,0.76,0.63,1696.1
Punjab,North,Bamboo Craft,Cane,71.24,255.19,5.5,Small,2,425.94,0.61,0.82,468.4
Odisha,East,Bamboo Craft,Cane,101.74,230.49,5.0,Medium,1,418.33,0.95,0.88,461.69
Andhra Pradesh,South,Painting,Canvas,200.31,215.27,6.2,Small,3,503.22,0.32,0.96,505.82
Rajasthan,West,Handloom Textile,Cotton,190.04,1274.85,26.9,Large,2,2005.91,0.77,0.94,2243.51
West Bengal,East,Stone Carving,Soapstone,101.73,269.19,4.9,Medium,4,516.13,0.84,0.55,560.25
Karnataka,South,Wooden Toy,Bamboo,50.08,134.11,3.7,Small,5,268.1,0.48,0.86,272.54
Uttar Pradesh,North,Metal Craft,Bronze,362.39,625.64,16.8,Medium,5,1441.18,0.35,0.55,1457.63
West Bengal,East,Bamboo Craft,Cane,806.11,1489.7,27.7,Large,4,2891.46,0.72,0.65,3259.33
Rajasthan,West,Pottery,Terracotta,294.75,215.01,4.3,Medium,2,678.7,0.5,0.71,703.23
West Bengal,East,Jewelry,Beads,548.23,273.79,6.3,Medium,4,1183.22,0.68,0.76,1257.1
Punjab,North,Painting,Paper,276.12,156.54,2.7,Small,5,583.57,0.57,0.81,599.83
Kerala,South,Painting,Canvas,220.48,490.25,10.7,Small,1,926.85,0.95,0.64,983.66
West Bengal,East,Metal Craft,Brass,330.93,210.86,3.7,Small,2,692.56,0.94,0.96,799.48
Kerala,South,Stone Carving,Marble,773.95,283.37,5.9,Large,2,1171.48,0.32,0.65,1142.13
Gujarat,West,Stone Carving,Marble,284.43,448.0,9.2,Medium,4,990.5,0.35,0.65,1012.3
Maharashtra,West,Handloom Textile,Wool,273.09,370.26,7.1,Small,4,963.27,0.53,0.84,1017.04
Karnataka,South,Handloom Textile,Cotton,276.84,59.54,1.2,Small,5,504.57,0.73,0.52,512.36
Odisha,East,Bamboo Craft,Bamboo,895.51,696.55,20.6,Large,5,2375.22,0.55,0.71,2371.93
Karnataka,South,Bamboo Craft,Bamboo,132.82,326.97,10.8,Small,3,619.95,0.44,0.97,636.7
Kerala,South,Jewelry,Terracotta,176.27,115.76,3.1,Large,1,394.52,0.92,0.59,452.39
Madhya Pradesh,Central,Metal Craft,Brass,192.81,141.09,3.1,Small,4,424.23,0.94,0.86,486.74
Odisha,East,Painting,Cloth,250.16,370.42,11.0,Small,2,723.46,0.67,0.92,784.49
Assam,Northeast,Jewelry,Terracotta,74.66,162.91,4.1,Small,5,349.43,0.96,0.5,389.92
Assam,Northeast,Bamboo Craft,Cane,106.76,333.8,6.4,Small,3,584.73,0.91,0.74,622.42
Maharashtra,West,Pottery,Clay,609.63,207.64,3.9,Medium,4,1276.85,0.49,0.95,1390.73
Kerala,South,Pottery,Clay,126.67,286.35,5.9,Small,5,753.41,0.84,0.37,836.82
Assam,Northeast,Jewelry,Silver,347.09,1097.75,24.1,Large,1,1505.66,0.62,0.52,1612.42
Kerala,South,Painting,Paper,465.18,968.61,19.0,Large,1,1925.54,0.8,0.34,2026.97
Punjab,North,Pottery,Clay,226.95,262.49,5.9,Medium,2,683.76,0.92,0.56,716.19
Odisha,East,Wooden Toy,Bamboo,519.89,1519.04,28.6,Large,4,2477.78,0.45,0.65,2526.17
Rajasthan,West,Wooden Toy,Bamboo,323.03,350.01,9.5,Small,4,1116.13,0.95,0.71,1242.03
Punjab,North,Jewelry,Beads,628.26,766.98,17.2,Large,5,2243.65,0.65,0.42,2346.91
Tamil Nadu,South,Jewelry,Silver,153.4,875.4,15.1,Medium,4,1554.89,0.96,0.56,1715.29
Punjab,North,Handloom Textile,Cotton,143.06,639.13,18.0,Medium,5,1106.63,0.48,0.58,1174.12
West Bengal,East,Jewelry,Beads,209.71,110.25,2.9,Small,1,357.89,0.66,0.4,375.27
Madhya Pradesh,Central,Wooden Toy,Wood,720.35,1560.4,27.2,Large,1,2380.82,0.96,0.47,2547.24
Gujarat,West,Handloom Textile,Wool,581.25,1043.08,18.7,Medium,4,2324.5,0.38,0.96,2298.08
Rajasthan,West,Pottery,Clay,327.74,111.16,2.4,Medium,5,725.95,0.54,0.63,786.28
Telangana,South,Metal Craft,Bronze,450.66,502.16,9.2,Medium,5,1644.79,0.93,0.38,1736.32
Rajasthan,West,Metal Craft,Bronze,106.35,748.83,13.4,Medium,2,1164.75,0.41,0.87,1266.53
Gujarat,West,Painting,Canvas,228.56,693.35,17.5,Medium,5,1420.76,0.69,0.34,1513.58
West Bengal,East,Painting,Cloth,328.91,217.85,6.1,Medium,5,861.67,0.77,0.3,863.45
Rajasthan,West,Jewelry,Terracotta,117.02,231.64,5.2,Small,1,466.78,0.55,0.52,490.14
Madhya Pradesh,Central,Handloom Textile,Silk,139.68,776.25,13.8,Large,2,1032.79,0.51,0.37,1061.11
Tamil Nadu,South,Handloom Textile,Wool,399.38,85.54,2.5,Medium,3,696.36,0.74,0.45,740.05
Punjab,North,Wooden Toy,Wood,238.76,1011.51,18.3,Medium,1,1387.94,0.81,0.35,1469.79
Punjab,North,Pottery,Clay,170.0,653.41,18.8,Medium,5,1279.33,0.64,0.55,1290.69
Gujarat,West,Pottery,Clay,320.98,362.45,6.4,Medium,2,905.68,0.33,0.94,916.15
Rajasthan,West,Pottery,Clay,783.0,188.82,3.2,Large,4,1492.31,0.67,0.51,1496.83
Gujarat,West,Metal Craft,Bronze,951.05,168.8,3.4,Large,1,1333.01,0.61,0.96,1444.95
Punjab,North,Bamboo Craft,Cane,350.12,448.56,14.0,Medium,1,904.71,0.44,0.45,884.77
Andhra Pradesh,South,Metal Craft,Brass,250.72,189.89,3.4,Small,5,740.34,0.96,0.66,798.14
West Bengal,East,Handloom Textile,Wool,67.42,198.51,4.0,Small,1,286.29,0.67,0.96,318.5
Rajasthan,West,Handloom Textile,Wool,221.26,251.02,6.6,Small,2,664.97,0.62,0.63,734.23
Tamil Nadu,South,Metal Craft,Copper,264.42,103.24,2.3,Medium,4,582.43,0.68,0.42,640.89
Gujarat,West,Handloom Textile,Wool,381.02,180.03,3.2,Small,1,742.49,0.79,0.62,831.86
Tamil Nadu,South,Metal Craft,Bronze,523.31,551.01,12.3,Large,5,1873.01,0.71,0.43,2006.03
Rajasthan,West,Stone Carving,Soapstone,271.64,101.06,2.1,Small,5,579.17,0.38,0.36,570.42
Andhra Pradesh,South,Painting,Cloth,614.6,206.06,4.8,Large,1,939.11,0.42,0.99,1008.2
Telangana,South,Bamboo Craft,Cane,393.35,290.45,4.9,Large,1,814.18,0.5,0.6,798.3
West Bengal,East,Pottery,Terracotta,533.75,421.81,11.0,Medium,1,1026.94,0.34,0.41,1040.32
Punjab,North,Metal Craft,Bronze,329.92,207.95,4.1,Large,3,708.3,0.7,0.58,729.7
Madhya Pradesh,Central,Painting,Cloth,682.47,987.6,28.0,Large,4,2161.82,0.72,0.6,2246.42
Punjab,North,Handloom Textile,Silk,542.08,467.65,10.1,Medium,4,1275.16,0.51,0.43,1331.58
Odisha,East,Wooden Toy,Bamboo,118.68,358.72,8.6,Small,3,579.94,0.59,0.63,582.64
Tamil Nadu,South,Jewelry,Terracotta,158.37,414.78,8.3,Small,2,674.73,0.5,0.62,676.53
Punjab,North,Stone Carving,Soapstone,92.91,631.99,17.4,Medium,5,968.88,0.46,0.5,1001.9
West Bengal,East,Wooden Toy,Bamboo,76.3,123.36,2.5,Small,3,248.03,0.54,0.8,255.04
Tamil Nadu,South,Jewelry,Terracotta,666.7,253.51,5.5,Large,3,1299.78,0.61,0.49,1407.1
Tamil Nadu,South,Bamboo Craft,Cane,639.39,518.34,12.3,Medium,3,1530.87,0.46,0.48,1535.05
Andhra Pradesh,South,Metal Craft,Brass,887.6,498.56,12.1,Large,2,1818.46,0.57,0.89,1966.05
Maharashtra,West,Handloom Textile,Cotton,400.68,747.62,24.0,Large,2,1647.63,0.91,0.66,1815.08
Assam,Northeast,Metal Craft,Brass,283.6,61.76,1.1,Small,2,355.43,0.61,0.54,369.1
Assam,Northeast,Handloom Textile,Wool,357.94,438.13,8.7,Medium,2,891.58,0.59,0.97,992.74
Punjab,North,Pottery,Clay,88.27,216.57,5.4,Small,4,405.18,0.7,0.9,421.21
Odisha,East,Wooden Toy,Wood,556.18,265.33,5.3,Medium,3,974.49,0.68,0.88,1015.01
Odisha,East,Stone Carving,Soapstone,587.73,1163.13,27.4,Large,3,2321.36,0.53,0.72,2520.11
Maharashtra,West,Bamboo Craft,Cane,637.47,66.77,2.0,Medium,2,942.8,0.73,0.87,1000.49
Punjab,North,Bamboo Craft,Bamboo,781.06,160.22,3.9,Large,4,1400.41,0.65,0.69,1466.82
Maharashtra,West,Wooden Toy,Bamboo,423.1,552.5,11.9,Medium,2,1260.77,0.75,0.48,1283.91
Maharashtra,West,Pottery,Terracotta,205.77,574.22,10.4,Medium,1,995.23,0.79,0.85,1083.09
Karnataka,South,Handloom Textile,Silk,450.69,238.77,7.5,Large,1,792.33,0.71,0.99,828.21
Rajasthan,West,Stone Carving,Soapstone,322.84,208.58,3.8,Small,5,905.22,0.79,0.96,1021.29
Telangana,South,Handloom Textile,Silk,340.32,552.3,12.7,Medium,5,1343.98,0.43,0.66,1426.58
Rajasthan,West,Stone Carving,Marble,491.89,444.24,13.3,Medium,4,1643.16,0.8,0.65,1861.41
